employee_id,Nama,domisili,jenis_kelamin,date_of_birth,join_date,resign_date,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,churn_status
EM4158,Halima Andriani,Kota Bekasi,Perempuan,1991-01-15,2022-08-01,2023-10-30,Married,2,D3,4.0,9.64,HR,Staff,3783141.0,,3,3,1
EM13481,Samiah Puspasari,Kota Bogor,Perempuan,1987-08-24,2022-08-15,2023-11-07,Married,2,SLTA,13.0,9.3,Engineering & IT,Staff,1527313.0,,2,2,1
EM0654,Reksa Riyanti,Kota Bekasi,Laki-laki,1977-10-25,2021-10-30,2024-01-02,Married,2,SLTA,1.0,9.67,Service & Support,Senior,10542792.334497016,,4,3,1
EM3780,Pardi Novitasari,Tangerang,Perempuan,1989-09-17,2023-02-27,2024-05-05,Married,2,SLTA,2.0,9.74,Creative & Design,Staff,2562052.0,,2,2,1
EM7583,Mulyanto Mahendra,Kota Jakarta Timur,Laki-laki,1998-02-09,2021-10-30,2023-05-07,Single,0,SLTA,5.0,9.64,Operations,Staff,1203354.0,,1,1,1
EM13914,Tania Najmudin,Kota Depok,Laki-laki,1995-05-02,2023-03-07,2024-04-04,Single,0,SLTA,10.0,9.83,Service & Support,Staff,1942489.0,,3,2,1
EM13955,Among Nainggolan,Kabupaten Bekasi,Perempuan,1996-07-30,2021-07-20,2024-02-29,Married,0,D2,6.0,9.38,HR,Staff,4332330.0,1.0,1,2,1
EM1166,Tari Suwarno,Kota Jakarta Pusat,Laki-laki,1986-06-27,2022-01-16,2024-10-02,Married,2,D3,4.0,9.67,HR,Staff,4455742.0,,1,3,1
EM7788,Hamzah Prastuti,Kota Bekasi,Laki-laki,1977-08-17,2021-10-04,2024-03-18,Married,1,SLTA,15.0,9.79,Finance & Accounting,Manager,11580726.549723662,,4,3,1
EM0608,Diah Widodo,Kota Jakarta Timur,Perempuan,1996-01-01,2021-06-13,2023-08-11,Married,2,SLTA,12.0,9.33,Engineering & IT,Staff,2374686.0,,1,3,1
EM5752,Surya Uwais,Kota Jakarta Pusat,Perempuan,1992-03-15,2022-06-08,2024-08-08,Married,0,D2,2.0,9.61,Corporate Strategy & Communications,Staff,4338085.0,,3,1,1
EM13446,Emong Prayoga,Kota Depok,Perempuan,1987-05-25,2021-05-22,2023-07-26,Married,1,D3,2.0,9.77,Engineering & IT,Staff,3431514.0,,1,1,1
EM5851,Kamila Pangestu,Kabupaten Bekasi,Perempuan,1975-02-24,2022-06-15,2023-07-29,Married,2,SLTA,10.0,9.21,Engineering & IT,Senior,14815368.508783486,,4,4,1
EM0265,Ellis Rahmawati,Kota Jakarta Pusat,Perempuan,1971-05-05,2022-06-26,2023-08-16,Married,2,SLTA,14.0,9.79,Operations,Senior,14984503.962633686,,4,4,1
EM11841,Nadine Habibi,Kota Jakarta Timur,Perempuan,1984-10-25,2022-09-14,2023-10-26,Married,3,SLTA,13.0,9.48,Finance & Accounting,Staff,1054415.0,1.0,2,2,1
EM0171,Gangsa Maulana,Kota Jakarta Barat,Laki-laki,1987-10-30,2021-08-12,2023-01-31,Married,0,D3,9.0,9.61,Creative & Design,Staff,3828692.0,2.0,3,1,1
EM12977,Yuliana Tarihoran,Kabupaten Bekasi,Laki-laki,1994-03-08,2022-06-15,2023-09-12,Married,1,D3,4.0,9.21,Finance & Accounting,Staff,4537314.0,1.0,2,1,1
EM5367,Emil Nainggolan,Kota Bogor,Perempuan,1978-03-24,2022-04-12,2024-07-20,Divorce,0,D1,8.0,9.2,Service & Support,Senior,7250373.815961315,,3,4,1
EM14451,Kiandra Hassanah,Tangerang,Perempuan,2000-08-01,2022-09-27,2023-11-21,Single,0,SLTA,10.0,9.75,Service & Support,Staff,2583198.0,,2,3,1
EM6909,Caket Mayasari,Kota Jakarta Selatan,Perempuan,1983-04-05,2023-07-13,2024-10-01,Married,3,D2,5.0,9.58,Marketing,Manager,8593758.535491453,,3,3,1
EM10224,Budi Namaga,Kota Jakarta Timur,Laki-laki,1990-08-03,2022-08-21,2024-10-16,Divorce,1,SLTA,7.0,9.28,Marketing,Staff,2655935.0,,1,1,1
EM2365,Koko Rahmawati,Kota Bekasi,Perempuan,1978-01-01,2022-03-07,2023-05-15,Married,2,D3,6.0,9.27,Engineering & IT,Manager,9441850.407644328,,3,3,1
EM13935,Gaman Rajasa,Tangerang,Laki-laki,1995-02-13,2022-06-02,2024-06-25,Married,2,SLTA,6.0,9.03,Service & Support,Staff,1433182.0,,2,2,1
EM1714,Kala Nashiruddin,Kabupaten Bogor,Perempuan,1984-08-15,2023-08-09,2024-10-05,Married,2,SLTA,9.0,9.05,Service & Support,Staff,2278593.0,,1,3,1
EM10779,Zulaikha Wulandari,Tangerang,Perempuan,1975-11-09,2022-07-18,2023-09-06,Married,2,SLTA,0.0,9.39,HR,Manager,12855483.225801736,1.0,4,4,1
EM11000,Ihsan Andriani,Kota Jakarta Timur,Perempuan,1979-09-27,2022-06-14,2024-01-08,Married,2,D1,8.0,9.43,HR,Senior,7346275.378723502,,4,4,1
EM7739,Jarwa Setiawan,Kota Jakarta Pusat,Perempuan,1997-11-15,2022-06-03,2024-07-27,Married,1,SLTA,1.0,9.73,Service & Support,Staff,2403336.0,,3,3,1
EM10289,Wasis Kusumo,Kabupaten Bogor,Laki-laki,1987-11-13,2021-03-01,2023-05-10,Married,4,D3,1.0,9.83,Finance & Accounting,Staff,4135690.0,1.0,2,2,1
EM5454,Umar Agustina,Tangerang,Perempuan,1973-02-22,2020-11-28,2023-01-03,Married,4,SLTA,2.0,9.49,Finance & Accounting,Senior,11089435.215506596,,3,3,1
EM2705,Nyoman Yuniar,Kota Bekasi,Perempuan,1995-07-19,2022-07-11,2023-10-02,Married,1,SLTA,6.0,9.88,Finance & Accounting,Staff,2942346.0,,2,1,1
EM14516,Dirja Hariyah,Tangerang,Laki-laki,1992-01-05,2023-02-22,2024-03-29,Married,2,SLTA,10.0,9.84,Finance & Accounting,Staff,1604547.0,,2,3,1
EM7102,Wardi Purwanti,Kota Jakarta Barat,Perempuan,1982-08-17,2023-01-25,2024-04-29,Married,0,SLTA,2.0,9.75,Engineering & IT,Senior,6119835.176799954,,4,3,1
EM7192,Rachel Hardiansyah,Kota Jakarta Utara,Laki-laki,1979-01-19,2020-10-02,2022-06-08,Married,2,SLTA,0.0,9.53,Finance & Accounting,Manager,11255638.63567625,,4,4,1
EM4053,Nrima Riyanti,Kota Jakarta Barat,Laki-laki,1969-09-24,2022-08-15,2024-10-16,Married,4,SLTA,5.0,9.51,Marketing,Manager,13437405.186579157,,3,4,1
EM3672,Nalar Laksmiwati,Kabupaten Bogor,Perempuan,1996-10-07,2022-06-07,2023-08-30,Married,1,D3,1.0,9.02,Finance & Accounting,Staff,3575931.0,,1,3,1
EM4493,Asmuni Puspasari,Kota Jakarta Barat,Laki-laki,1973-05-15,2021-09-13,2023-11-08,Married,2,SLTA,13.0,9.32,Creative & Design,Manager,11010163.304140303,,4,3,1
EM4420,Sadina Latupono,Kota Jakarta Timur,Laki-laki,1975-11-11,2023-01-16,2024-02-26,Single,0,SLTA,14.0,9.37,Engineering & IT,Senior,14953624.997013647,,3,3,1
EM13459,Ciaobella Nasyidah,Tangerang,Laki-laki,1995-06-18,2022-06-22,2023-08-08,Single,0,SLTA,14.0,9.54,Operations,Staff,1172725.0,,3,1,1
EM12126,Novi Situmorang,Kota Jakarta Pusat,Perempuan,1999-07-19,2022-01-04,2023-03-17,Single,0,SLTA,15.0,9.68,Operations,Staff,1263025.0,,1,1,1
EM7463,Danu Haryanto,Kota Jakarta Barat,Laki-laki,1998-02-10,2021-12-01,2023-02-01,Married,2,SLTA,0.0,9.36,Operations,Staff,1510224.0,,3,2,1
EM1489,Gading Natsir,Kabupaten Bekasi,Perempuan,1998-03-18,2021-10-23,2023-01-02,Married,1,SLTA,7.0,9.36,Creative & Design,Staff,2107566.0,,1,2,1
EM5887,Aslijan Hakim,Kepulauan Seribu,Laki-laki,1977-08-15,2022-10-30,2024-01-04,Married,3,D2,0.0,9.56,Finance & Accounting,Senior,10445795.381745676,,3,3,1
EM8816,Jail Uyainah,Kota Jakarta Utara,Laki-laki,1987-11-21,2023-08-11,2024-10-16,Married,4,D2,5.0,9.18,Marketing,Staff,3980668.0,,2,2,1
EM5202,Jumadi Namaga,Kota Jakarta Selatan,Laki-laki,1997-11-09,2020-12-26,2023-03-13,Single,0,SLTA,8.0,9.67,Operations,Staff,1501795.0,,1,1,1
EM4961,Endah Melani,Kota Jakarta Timur,Laki-laki,1971-10-11,2022-11-06,2024-05-02,Married,1,D2,8.0,9.68,Finance & Accounting,Manager,7239581.333750647,2.0,4,3,1
EM6228,Mulyono Safitri,Kota Jakarta Pusat,Perempuan,1983-04-04,2022-09-30,2024-03-23,Married,2,D3,5.0,9.17,Creative & Design,Senior,7756649.504189701,,3,4,1
EM11714,Kalim Gunarto,Kota Jakarta Barat,Laki-laki,1984-10-28,2022-07-28,2024-10-30,Married,2,D2,5.0,9.9,Corporate Strategy & Communications,Staff,4588956.0,,3,1,1
EM9832,Rosman Suryatmi,Kota Jakarta Timur,Perempuan,1995-05-23,2021-04-11,2023-05-30,Married,2,SLTA,11.0,9.71,Finance & Accounting,Staff,1340430.0,,2,2,1
EM14298,Lanang Salahudin,Kota Bogor,Laki-laki,1998-09-26,2023-06-26,2024-09-02,Single,0,SLTA,7.0,9.69,Engineering & IT,Staff,2419896.0,,3,1,1
EM12657,Empluk Suwarno,Tangerang,Laki-laki,1993-02-16,2022-06-26,2023-08-13,Married,1,D2,7.0,9.82,Finance & Accounting,Staff,3714640.0,,2,3,1
EM12222,Dipa Hasanah,Kota Jakarta Timur,Perempuan,1994-05-28,2021-09-19,2023-10-09,Divorce,1,SLTA,0.0,9.4,Operations,Staff,1222184.0,,3,1,1
EM2754,Arta Purwanti,Kota Jakarta Utara,Laki-laki,2000-09-22,2022-10-30,2023-12-30,Single,0,SLTA,,9.35,Service & Support,Staff,2282381.0,,3,1,1
EM3289,Ira Sinaga,Kota Depok,Laki-laki,1980-05-16,2023-05-08,2024-05-15,Married,4,D3,0.0,9.07,Creative & Design,Manager,9959113.409199797,,3,4,1
EM4134,Mujur Mandasari,Kabupaten Bekasi,Laki-laki,1970-12-10,2023-05-08,2024-07-22,Married,3,SLTA,6.0,9.27,Service & Support,Senior,12778751.175893432,,4,3,1
EM0289,Puspa Narpati,Kota Jakarta Barat,Laki-laki,1980-05-09,2022-08-12,2023-10-30,Married,2,SLTA,13.0,9.26,Corporate Strategy & Communications,Senior,8249173.647919707,,3,4,1
EM10802,Cahya Rajasa,Kota Bekasi,Laki-laki,1998-06-11,2022-09-21,2023-12-08,Married,0,SLTA,2.0,9.31,Engineering & IT,Staff,2275334.0,,1,1,1
EM6523,Vicky Thamrin,Kabupaten Bekasi,Perempuan,1984-05-10,2023-02-28,2024-05-12,Married,2,D1,3.0,9.65,Service & Support,Staff,3903337.0,,3,2,1
EM9036,Kuncara Wahyudin,Kota Jakarta Timur,Perempuan,1990-02-27,2023-07-24,2024-08-14,Single,0,SLTA,13.0,9.31,Engineering & IT,Staff,1151106.0,,3,3,1
EM13890,Humaira Pangestu,Kota Jakarta Barat,Laki-laki,1975-04-05,2021-01-03,2023-03-31,Married,2,SLTA,1.0,9.59,Operations,Senior,13402269.464021806,,4,4,1
EM9105,Opan Pratama,Kota Depok,Laki-laki,1984-05-07,2023-02-21,2024-03-29,Married,2,SLTA,14.0,9.34,Service & Support,Staff,1431438.0,,1,2,1
EM8146,Garan Mulyani,Kabupaten Bogor,Laki-laki,1973-05-04,2020-09-19,2023-02-03,Married,4,D2,0.0,9.11,Finance & Accounting,Manager,9568214.062640997,,4,4,1
EM13260,Eko Susanti,Kota Jakarta Barat,Perempuan,1976-12-02,2020-10-25,2023-02-16,Married,2,SLTA,8.0,9.31,Creative & Design,Manager,8982587.950797686,,4,3,1
EM11154,Tina Novitasari,Kota Depok,Laki-laki,1972-07-30,2022-09-15,2024-02-03,Married,1,SLTA,5.0,9.31,Service & Support,Senior,14448432.891155042,,3,3,1
EM6649,Dagel Safitri,Kota Bekasi,Perempuan,1978-03-20,2023-04-13,2024-05-25,Married,4,SLTA,7.0,9.8,Engineering & IT,Senior,9132686.312130902,1.0,4,4,1
EM7116,Ulva Pangestu,Kabupaten Bekasi,Perempuan,1998-09-07,2023-02-21,2024-05-16,Single,0,SLTA,12.0,9.65,Service & Support,Staff,1997788.0,,3,2,1
EM0688,Faizah Wijaya,Kabupaten Bogor,Laki-laki,1975-06-08,2022-03-14,2023-05-22,Married,3,SLTA,0.0,9.25,Operations,Senior,11001120.825057471,,3,3,1
EM4028,Emas Tamba,Kota Jakarta Barat,Laki-laki,1979-12-10,2023-05-29,2024-07-01,Married,4,SLTA,0.0,9.61,HR,Manager,14152264.767702974,,3,3,1
EM6388,Sadina Aryani,Kota Jakarta Utara,Laki-laki,1977-12-12,2023-01-30,2024-06-20,Married,3,SLTA,6.0,9.02,HR,Senior,6261672.8059686925,,3,4,1
EM9958,Halima Rajata,Kabupaten Bekasi,Perempuan,2000-12-04,2022-05-15,2023-08-02,Married,0,SLTA,4.0,9.61,Finance & Accounting,Staff,1260346.0,,3,3,1
EM12301,Darijan Natsir,Kota Jakarta Selatan,Laki-laki,1974-01-29,2022-06-20,2023-07-28,Married,1,SLTA,15.0,9.23,Service & Support,Senior,10326323.892790029,,4,4,1
EM7353,Nalar Rajasa,Kota Jakarta Selatan,Perempuan,1970-04-07,2022-01-18,2023-04-14,Married,2,SLTA,9.0,9.42,Operations,Manager,8612589.561680254,,4,3,1
EM0733,Nadine Namaga,Kota Jakarta Utara,Laki-laki,1975-05-11,2023-08-04,2024-09-18,Married,2,SLTA,6.0,9.6,Marketing,Manager,11493288.806214396,,4,3,1
EM8446,Bagus Tamba,Tangerang,Perempuan,1974-07-02,2022-06-15,2024-07-08,Married,3,SLTA,0.0,9.24,Service & Support,Senior,13767370.098994032,,3,3,1
EM6999,Hesti Wahyudin,Kota Depok,Laki-laki,1995-08-07,2023-03-24,2024-04-17,Married,1,SLTA,12.0,9.07,Marketing,Staff,1824329.0,,3,1,1
EM4858,Karimah Permata,Kepulauan Seribu,Perempuan,1978-03-12,2020-12-05,2023-03-16,Married,2,SLTA,0.0,9.7,Corporate Strategy & Communications,Manager,6126791.730976669,,4,4,1
EM11129,Balapati Zulkarnain,Kota Jakarta Timur,Laki-laki,1986-12-18,2021-07-20,2023-08-23,Married,3,SLTA,0.0,9.33,Corporate Strategy & Communications,Staff,1142651.0,,3,1,1
EM0132,Nardi Kurniawan,Kabupaten Bekasi,Perempuan,1984-03-06,2021-02-21,2023-05-06,Married,2,SLTA,7.0,9.2,Marketing,Staff,2357977.0,,1,1,1
EM5110,Jarwa Novitasari,Kota Depok,Perempuan,1982-05-21,2021-05-16,2023-03-27,Married,1,D1,4.0,9.28,Finance & Accounting,Senior,8076689.320137245,,4,3,1
EM3965,Rudi Anggraini,Kabupaten Bogor,Perempuan,1995-07-09,2021-11-08,2023-02-05,Divorce,0,SLTA,11.0,9.52,Engineering & IT,Staff,2226127.0,,1,2,1
EM4650,Imam Saputra,Kepulauan Seribu,Perempuan,1982-01-01,2022-01-13,2024-04-14,Married,3,D2,2.0,9.64,Service & Support,Senior,7914371.886165561,1.0,4,4,1
EM3315,Qori Pradipta,Kabupaten Bekasi,Perempuan,1979-02-25,2020-07-11,2023-05-31,Married,2,D2,6.0,9.59,Marketing,Senior,10220041.270984707,,3,3,1
EM10632,Ilyas Setiawan,Kepulauan Seribu,Laki-laki,1998-08-30,2021-03-01,2023-04-19,Single,0,D3,6.0,9.59,Service & Support,Staff,3018373.0,,3,2,1
EM14559,Kawaya Narpati,Kota Jakarta Barat,Laki-laki,1975-12-24,2023-07-07,2024-10-02,Married,3,D1,7.0,9.11,Corporate Strategy & Communications,Manager,7481520.787312691,1.0,3,4,1
EM1779,Virman Palastri,Kota Jakarta Timur,Laki-laki,1998-05-22,2022-03-31,2024-06-08,Single,0,SLTA,1.0,9.62,Operations,Staff,1900910.0,,2,3,1
EM8220,Dina Pradana,Kota Jakarta Barat,Perempuan,1973-10-08,2022-06-06,2024-05-11,Married,0,D3,4.0,9.34,Creative & Design,Manager,8914801.052792259,,3,4,1
EM9956,Dalimin Maulana,Kota Jakarta Timur,Perempuan,1995-04-27,2022-05-12,2023-07-17,Single,0,SLTA,2.0,9.4,Operations,Staff,1876355.0,,2,3,1
EM11080,Kurnia Sihombing,Tangerang,Laki-laki,1992-08-21,2021-01-16,2023-03-01,Married,2,D3,6.0,9.04,Creative & Design,Staff,3036234.0,,3,2,1
EM7310,Jagapati Prasetya,Kota Jakarta Utara,Laki-laki,1979-02-17,2022-09-02,2023-10-04,Married,2,SLTA,6.0,9.04,HR,Senior,8844826.282050442,,3,3,1
EM3102,Jinawi Winarno,Kota Jakarta Selatan,Laki-laki,1995-04-21,2022-09-29,2023-11-20,Married,0,SLTA,1.0,9.01,HR,Staff,1301785.0,,3,3,1
EM1225,Hesti Siregar,Tangerang,Laki-laki,1998-12-23,2022-07-13,2023-10-02,Single,0,D1,3.0,9.39,HR,Staff,3385681.0,,3,3,1
EM2318,Ida Hutapea,Kota Bekasi,Laki-laki,1970-01-11,2022-10-04,2024-01-18,Married,1,SLTA,5.0,9.12,HR,Senior,14211056.37814648,,3,4,1
EM5611,Lukita Farida,Kota Jakarta Selatan,Laki-laki,1980-09-04,2022-02-20,2023-06-05,Married,0,D3,0.0,9.54,Engineering & IT,Manager,7844239.376222419,3.0,3,4,1
EM11442,Suci Tamba,Kota Jakarta Timur,Perempuan,1990-02-02,2023-04-13,2024-07-06,Married,4,D3,9.0,9.46,Corporate Strategy & Communications,Staff,3121811.0,,2,3,1
EM15396,Cici Firgantoro,Kepulauan Seribu,Laki-laki,2000-11-23,2022-10-07,2023-12-08,Married,0,D2,6.0,9.42,Finance & Accounting,Staff,3671264.0,,2,1,1
EM3957,Vino Agustina,Kabupaten Bogor,Laki-laki,1995-06-24,2022-10-17,2023-11-18,Single,0,SLTA,11.0,9.88,Marketing,Staff,1860461.0,,2,3,1
EM1231,Ivan Laksita,Kabupaten Bogor,Perempuan,1985-06-07,2022-07-21,2023-11-19,Married,1,D3,6.0,9.88,Service & Support,Staff,3385792.0,,1,3,1
EM12196,Muni Nashiruddin,Kota Jakarta Selatan,Laki-laki,1993-03-15,2021-07-25,2023-09-05,Married,0,SLTA,15.0,9.39,Engineering & IT,Staff,1210649.0,,2,2,1
EM0871,Kasiran Budiman,Kabupaten Bekasi,Perempuan,1977-06-15,2021-09-12,2024-05-27,Married,1,SLTA,10.0,9.85,HR,Manager,13455875.455647282,,4,4,1
EM0064,Yuliana Prasetyo,Kota Jakarta Utara,Perempuan,1987-04-20,2022-07-25,2024-08-23,Married,3,SLTA,0.0,9.32,HR,Staff,1257855.0,,3,1,1
EM0189,Wadi Uwais,Kabupaten Bekasi,Laki-laki,1984-10-24,2022-10-02,2024-05-05,Married,2,SLTA,0.0,9.48,Finance & Accounting,Staff,2762685.0,,1,2,1
EM6032,Mutia Tamba,Kota Depok,Laki-laki,2000-06-28,2023-01-19,2024-03-08,Single,0,SLTA,2.0,9.79,Marketing,Staff,2504360.0,,3,1,1
EM8254,Hamima Iswahyudi,Tangerang,Laki-laki,1977-09-09,2022-09-23,2023-10-13,Married,4,SLTA,15.0,9.82,Finance & Accounting,Senior,11903988.113635303,1.0,4,3,1
EM12248,Salimah Sihombing,Kota Jakarta Utara,Laki-laki,1980-10-20,2023-01-16,2024-02-22,Married,2,SLTA,9.0,9.05,HR,Senior,8573365.557212273,,4,4,1
EM6475,Karya Purwanti,Tangerang,Perempuan,1977-10-18,2022-09-27,2023-12-11,Married,2,SLTA,0.0,9.69,HR,Senior,13799150.117914109,,4,3,1
EM10350,Asmadi Hasanah,Kabupaten Bogor,Laki-laki,1997-09-27,2023-09-11,2024-10-31,Married,0,SLTA,10.0,9.63,Service & Support,Staff,2162817.0,,3,1,1
EM11580,Mahesa Nuraini,Kota Bogor,Perempuan,1970-04-11,2023-06-20,2024-10-02,Married,2,D2,3.0,9.26,HR,Senior,9536933.754373062,,4,4,1
EM7470,Cakrabirawa Nasyidah,Tangerang,Perempuan,2000-11-08,2021-12-13,2024-01-16,Married,0,SLTA,13.0,9.34,Engineering & IT,Staff,1160013.0,,3,3,1
EM5077,Surya Marbun,Kabupaten Bekasi,Laki-laki,1973-08-17,2023-01-11,2024-03-29,Married,2,SLTA,0.0,9.67,Finance & Accounting,Manager,14482758.697301606,,4,4,1
EM2614,Balangga Pranowo,Kota Jakarta Barat,Perempuan,1973-07-08,2021-08-14,2023-11-16,Divorce,0,D1,6.0,9.76,Marketing,Manager,9126880.85192341,,4,3,1
EM13088,Bella Dabukke,Kota Jakarta Pusat,Laki-laki,1998-10-10,2023-06-06,2024-09-13,Married,0,SLTA,7.0,9.25,Operations,Staff,1959915.0,,2,2,1
